圌	chuen	0
圍	wai	123
園	yuen	327
圓	yuen	111
圖	to	409
圖	tou	409
團	tuen	360
圛	yik	0
圜	waan	0
圞	luen	0
土	to	269
土	tou	269
圠	aat	0
圢	ting	0
圣	sing	0
在	joi	10081
圩	yue	0
圪	ngat	0
圬	woo	0
圭	gwai	8
圮	pei	0
圯	yi	0
地	dei	2187
圳	jan	2
圻	kei	0
圾	sap	48
址	ji	107
坁	ji	0
坅	kam	0
均	gwan	142
坉	nang	0
坉	tuen	0
坊	fong	14
坋	fan	0
坌	ban	0
坍	taan	1
坎	ham	15
坏	pui	0
坐	choh	188
坐	joh	188
坑	haang	25
坒	bai	0
坡	boh	46
坤	kwan	31
坦	taan	46
坨	toh	0
坩	ham	0
坪	ping	45
坫	dim	0
坭	nai	0
坯	pooi	0
坯	pui	0
坰	gwing	0
坱	ong	0
坲	fat	0
坳	aau	0
坴	luk	0
坵	yau	0
坶	muk	0
坷	hoh	1
坻	chi	0
坼	chaak	0
垀	foo	0
垂	sui	25
垃	laap	48
型	ying	429
垌	tung	0
垓	goi	1
垔	yan	0
垕	hau	0
垗	siu	0
垘	fuk	0
垚	yiu	2
垛	doh	1
垝	gwai	0
垞	cha	0
垟	yui	0
垠	ngan	1
垢	gau	5
垣	woon	2
垤	dit	0
垮	kwa	13
垵	am	0
垸	yuen	0
垺	foo	0
垼	yik	0
垽	ngan	0
埂	gang	0
埃	ai	21
埃	ngai	21
埃	ngoi	21
埃	oi	21
埆	kok	0
埇	chung	0
埇	yung	0
埋	maai	26
埌	long	0
城	sing	1530
埏	yin	0
埒	luet	0
埔	bo	22
埔	bou	22
埕	ching	1
埗	bo	0
埗	bou	0
埜	ye	0
域	wik	73
埠	bo	4
埠	bou	4
埠	fau	4
埡	ah	0
埡	nga	0
埢	kuen	0
埤	pei	1
埧	gui	0
埭	dai	0
埰	choi	0
埲	bong	0
埲	bung	0
埲	pung	0
埳	ham	0
埴	jik	0
埵	doh	1
埶	ngai	0
執	jap	319
埸	yik	2
培	pooi	49
培	pui	49
培	pui	49
基	gei	471
埻	jun	0
埼	kei	0
埽	so	0
堀	gwat	0
堁	foh	0
堂	tong	181
堄	ai	0
堅	gin	95
堆	dui	163
堇	gan	3
堈	gong	0
堉	yue	2
堊	ok	0
堋	bang	0
堌	goo	0
堌	gu	0
堍	to	0
堍	tou	0
堎	ling	0
堐	ngaai	0
堙	yan	0
堛	pei	0
堝	woh	0
堞	dip	0
堠	hau	0
堡	bo	28
堡	bou	28
堣	yue	0
堤	tai	7
堥	mau	0
